"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena\cant_join\disabled.mcfunction", "mcfunction", 2, 0, 2, 2, 6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena\cant_join\no_class.mcfunction", "mcfunction", 2, 0, 2, 2, 6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena\cant_join\too_many_players.mcfunction", "mcfunction", 2, 0, 2, 2, 6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena\check_join.mcfunction", "mcfunction", 4, 0, 6, 4, 14
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena\join_arena.mcfunction", "mcfunction", 79, 0, 12, 17, 108
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena\start_sneak.mcfunction", "mcfunction", 2, 0, 2, 1, 5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\join_arena\stop_sneak.mcfunction", "mcfunction", 1, 0, 2, 1, 4
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\leaderboard\refresh_leaderboard.mcfunction", "mcfunction", 1, 0, 1, 0, 2
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\quit_arena.mcfunction", "mcfunction", 3, 0, 3, 2, 8
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\respawn.mcfunction", "mcfunction", -49, 0, -19, -22, -90
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\respawn\respawn.mcfunction", "mcfunction", 67, 0, 26, 31, 124
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\respawn\respawn_at_good_spot.mcfunction", "mcfunction", 21, 0, 7, 7, 35
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\setup_respawn_points.mcfunction", "mcfunction", 14, 0, 2, 3, 19
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\stuff_give_max\archer.mcfunction", "mcfunction", 6, 0, 1, 2, 9
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\stuff_give_max\mage.mcfunction", "mcfunction", 6, 0, 1, 1, 8
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\stuff_give_max\rogue.mcfunction", "mcfunction", 6, 0, 1, 1, 8
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\stuff_give_max\warrior.mcfunction", "mcfunction", 6, 0, 1, 1, 8
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\arena\tp.mcfunction", "mcfunction", 2, 0, 2, 3, 7
