"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\legslvl6_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\legslvl7_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\legslvl8_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\legslvl9_a.json", "JSON", 0, 26, 0, 1, 27
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\passif1_a.json", "JSON", 0, 27, 0, 1, 28
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\passif2_a.json", "JSON", 0, 27, 0, 1, 28
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\root.json", "JSON", 0, 25, 0, 1, 26
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\spell1lvl2_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\spell1lvl3_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\spell2lvl2_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\spell2lvl3_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\spell3lvl2_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\spell3lvl3_a.json", "JSON", 0, 33, 0, 1, 34
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl10_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl2_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl3_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl4_a.json", "JSON", 0, 30, 0, 1, 31
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl5_a.json", "JSON", 0, 29, 0, 1, 30
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.29 - fleche explo\datapacks\Magic_FR\data\archer\advancement\weapon1lvl6_a.json", "JSON", 0, 29, 0, 1, 30
